String , County ,EQF_level
Doctorate – Bologna 3rd cycle - Qualification type A*,Kosovo,8.0
Master – Bologna 2nd cycle - Qualification type A*,Kosovo,7.0
Bachelor – Bologna 1st cycle - Qualification type A*,Kosovo,6.0
"Higher Education Qualifications, type (A)",Kosovo,6.0
"General Education Qualifications, type (B) ",Kosovo,6.0
"Combined National Qualifications, type (C)",Kosovo,6.0
"National Professional Qualifications, type (D)",Kosovo,6.0
"Qualifications Based on International Standards, type (E) ",Kosovo,6.0
"Customized Qualifications, type (F)",Kosovo,6.0
Bologna Short-cycle - Diploma Level V - Qualification type A *,Kosovo,5.0
"Post-secodary VET Diploma Level V - Qualification type C, D, E*",Kosovo,5.0
"Post-secondary VET Certificate Level V - Qualification type D, E *",Kosovo,5.0
High secondary General education Diploma - Qualification type B*,Kosovo,4.0
"High secondary VET Diploma - Qualification type C, D*",Kosovo,4.0
"VET Certifikate - Qualification type D, E, F*",Kosovo,4.0
"High secondary VET Certifikate - Level 3 (two year seconday education) - Qualification type C, D*",Kosovo,3.0
"VET Certifikate Level 3 - Qualification type D, E, F*",Kosovo,3.0
Lower secodary education Diploma - Qualification type B*,Kosovo,2.0
"VET Certifikate Level 2 - Qualification type D, E, F*",Kosovo,2.0
Primary education Diploma - Qualification type B*,Kosovo,1.0
"VET Certifikate Level 1 - Qualification type D, E, F*",Kosovo,1.0
Doctor's diploma,Latvia,8.0
Professional Doctor's diploma in arts,Latvia,8.0
Doctor's degree in Management Science,Latvia,8.0
Master's diploma,Latvia,7.0
Professional Master's diploma,Latvia,7.0
"Diploma of professional higher education, diploma of higher professional qualification (total lenght of full-time studies – at least 5 years)",Latvia,7.0
Diploma of professional higher education with professional qualification Veterinarian,Latvia,7.0
Master's Degree of Natural Sciences in Computer Science,Latvia,7.0
"Professional Master's Degree in Education, Basic Education English Language Teacher",Latvia,7.0
Bachelor's diploma (bakalaura diploms),Latvia,6.0
Professional Bachelor's diploma (profesionālā bakalaura diploms),,
"Diploma of professional higher education, diploma of higher professional qualification (lenght of full-time studies – at least 4 years) (profesionālās augstākās izglītības diploms, augstākās profesionālās kvalifikācijas diploms (pilna laika studiju ilgum",,
Professional Bachelor's diploma,Latvia,6.0
Bachelor Degree of Social Science in Economics,Latvia,6.0
"Professional Bachelor’s Degree in Economics, Economist",Latvia,6.0
"Diploma of professional higher education, diploma of higher professional qualification (lenght of full-time studies – at least 4 years) ",Latvia,6.0
Diploma of professional higher education with professional qualification Lawyer,Latvia,6.0
"Diploma of first level professional higher education (college education, length of full-time studies – 2 to 3 years) ",Latvia,5.0
Diploma of first level professional higher education with professional qualification Architect Assistant,Latvia,5.0
Certificate of general secondary education ,Latvia,4.0
Diploma of vocational secondary education,Latvia,4.0
Diploma of vocational secondary education with professional qualification Hydro-structure Construction Technician,Latvia,4.0
Certificate of professional qualification (at secondary education level),Latvia,4.0
Certificate of professional qualification Bathhouse Master,Latvia,4.0
Certificate of vocational education,Latvia,3.0
Certificate of vocational education with professional qualification Caregiver,Latvia,3.0
Certificate of professional qualification (at vocational education level),Latvia,3.0
Certificate of professional qualification Caregiver,Latvia,3.0
Certificate of general basic education,Latvia,2.0
Certificate of vocational basic education,Latvia,2.0
Certificate of vocational basic education with professional qualification Forester,Latvia,2.0
Certificate of professional qualification (at basic education level),Latvia,2.0
Certificate of professional qualification Wooden Material Processor,Latvia,2.0
Certificate of general basic education,Latvia,1.0
Certificate of general basic education (special education programmes for learners with (severe) mental development disorders or multiple several development disorders),Latvia,1.0
Doctorate (Doctorgrade),Austria,8.0
Clinical Psychology,Austria,8.0
Healthcare Psychology ,Austria,8.0
Master Degree (Master -bzv.diplomegrade),Austria,7.0
Bachelor Degree (Bachelorgrade),Austria,6.0
Engineer,Austria,6.0
Master Craftsman,Austria,6.0
Certified Masterchef,Austria,6.0
Managing Director Cooperative Raiffeisen Bank,Austria,6.0
VET college school leaving certificate,Austria,5.0
Higher Federal Technical College of Mechanical Engineering,Austria,5.0
Higher Federal Technical College of Computer Sciences / Informatics,Austria,5.0
Higher Federal Technical College of Construction Engineering,Austria,5.0
Secondary School for Fashion,Austria,5.0
Secondary School for Tourism,Austria,5.0
Secondary School for Economic Professions,Austria,5.0
College for Agriculture,Austria,5.0
College for Agriculture and Nutrition,Austria,5.0
College of Social Pedagogic,Austria,5.0
Commercial Academy,Austria,5.0
"Higher College of Business Administration Specialist Subject Area „Controlling, business practice and taxes""",Austria,5.0
"""Higher College of Business Administration Specialist Subject Area „Entrepreneurship and management""",Austria,5.0
"Higher College of Business Administration Specialist Subject Area „Financial and risk management""",Austria,5.0
"Higher College of Business Administration Specialist Subject Area „Information and communication techology –e-business""",Austria,5.0
"Higher College of Business Administration Specialist Subject Area „International business""",Austria,5.0
Higher College of Business Administration Specialist Subject Area „Communcation management and marketing,Austria,5.0
"Higher College of Business Administration Specialist Subject Area „Logistics management""",Austria,5.0
"Higher College of Business Administration Specialist Subject Area „Management, controlling and accounting",Austria,5.0
"Higher College of Business Administration Specialist Subject Area „Quality management and integrated management systems""",Austria,5.0
"""Higher College of Business Administration Specialist Subject Area „Ecologically-oriented management""",Austria,5.0
Higher College of Business Administration Higher Colleges of Business Administration for Business Informatics (Digital Business),Austria,5.0
Higher College of Business Administration Higher Colleges of Business Administration for Communication and Media Informatics,Austria,5.0
Higher College of Business Administration School-autonomous Specialist Subject Area,Austria,5.0
Higher College of Business Administration School-autonomous Specialist Subject Area„Sports Management,Austria,5.0
Senior Prison Officer,Austria,5.0
"Staff Non-Commissioned Officer (Staff NCO, first employment)",Austria,5.0
wba-Certified Adult Educator,Austria,5.0
EBC*L CERTIFIED MANAGER,Austria,5.0
MEPA Course – Preventing and Combating Cross-Border Crime,Austria,5.0
School for intermediate vocational education,Austria,4.0
Final Examination Certificate – Secondary Business School,Austria,4.0
Technical College for Electrical Engineering,Austria,4.0
Technical College for Mechanical Engineering,Austria,4.0
Vocational School for Social Professions,Austria,4.0
Vocational School for the Hotel and Restaurant Industry,Austria,4.0
Vocational School for Agriculture and Forestry - training focus: Business and Household Management,Austria,4.0
Vocational School for Agriculture and Forestry - training focus: Horticulture,Austria,4.0
Vocational School for Agriculture and Forestry - training focus: Agriculture,Austria,4.0
Vocational School for Agriculture and Forestry - training focus: Pomiculture,Austria,4.0
Vocational School for Agriculture and Forestry - training focus: Horse Management,Austria,4.0
Vocational School for Agriculture and Forestry - training focus: Viticulture and Cellar Management,Austria,4.0
Apprenticeship diploma,Austria,4.0
Apprenticeship Office Assistant,Austria,4.0
Apprenticeship Restaurant Specialist,Austria,4.0
Apprenticeship Metal Technology,Austria,4.0
Apprenticeship Motor Vehicle Engineering,Austria,4.0
Apprenticeship Installations and Building Technology,Austria,4.0
Apprenticeship Retail Trade Services,Austria,4.0
Apprenticeship Bricklayer,Austria,4.0
Apprenticeship Electrical Engineering,Austria,4.0
Apprenticeship Cook,Austria,4.0
Apprenticeship Joinery,Austria,4.0
Career Non-Commissioned Officer (NCO),Austria,4.0
Alpine Education Course- Austrian Alpine Club,Austria,4.0
EBC*L BETRIEBSWIRTSCHAFT,Austria,4.0
Family group leader-Austrian Alpine Club,Austria,3.0
Youth leader-Austrian Alpine Club,Austria,3.0
Chance B Qualifications,Austria,2.0
Housekeeping - Niveau 2,Austria,2.0
Niveau 2,Austria,2.0
Chance B Qualifications,Austria,1.0
Housekeeping Niveau 1,Austria,1.0
Niveau 1,Austria,1.0
Doctoral or postdoctoral degree/habilitation ,Belgium - DE,8.0
Master degree  ,Belgium - DE,7.0
Master degree on successful completion of dual track higher education (long duration),Belgium - DE,7.0
Bachelor degree,Belgium - DE,6.0
Master craftsperson certificate on successful completion of a three-year master craftsperson programme,Belgium - DE,6.0
Professional bachelor degree on successful completion of dual track higher education,Belgium - DE,6.0
Master craftsperson certificate on successful completion of a two-year master craftsperson programme,Belgium - DE,5.0
Successful completion of supplementary secondary vocational education,Belgium - DE,5.0
Successful completion of upper secondary general education,Belgium - DE,4.0
Successful completion of upper secondary technical and arts programmes,Belgium - DE,4.0
Attestation of competence upon successful completion of year 6 in vocational education,Belgium - DE,4.0
Successful completion of year 7 (complementary year) in vocational education,Belgium - DE,4.0
Journeyman certificate on successful completion of an apprenticeship,Belgium - DE,4.0
Successful completion of lower secondary general education,Belgium - DE,3.0
"Successful completion of lower secondary technical, vocational or arts programmes",Belgium - DE,3.0
Certified partial qualification acquired in year 2 of an apprenticeship,Belgium - DE,3.0
Successful completion of ‘common’ year 2 in secondary education,Belgium - DE,2.0
Successful completion of year 3 in vocationally oriented education,Belgium - DE,2.0
Attestation of competence certifying lower secondary special needs education,Belgium - DE,2.0
"Successful completion of primary education, four years",Belgium - DE,1.0
Certificate upon successful completion of year 2 in vocationally oriented education,Belgium - DE,1.0
Doctoral degree - PhD  *Continuing education certifications,Belgium - FR,8.0
PhD in Psychology ,Belgium - FR,8.0
Master degree  Advanced Master Degree  *Continuing education certifications ,Belgium - FR,7.0
"Master degree : e.g. Master in Communication ,  Advanced Master Degree : e.g. Specialised Master in Sociology and anthropology ",Belgium - FR,7.0
"Academic Bachelor degree, Professional Bachelor degree,  Advanced Bachelor degree  *Continuing education certifications ",Belgium - FR,6.0
"Academic Bachelor degree : e.g. Bachelor in Optometry , Professional bachelor degree : e.g. Specialised bachelor in Mental health and psychiatry ",Belgium - FR,6.0
Associate degree *Continuing education certifications ,Belgium - FR,5.0
Associate degree for webdeveloper ,Belgium - FR,5.0
"Professional diploma, level 5 ",Belgium - FR,5.0
Diploma for business managers commercial agents ,Belgium - FR,5.0
Professional foundation diploma,Belgium - FR,5.0
"Professional foundation diploma for police officers, level 5",Belgium - FR,5.0
"Skills certificate, level 5",Belgium - FR,5.0
Upper secondary education certificate ,Belgium - FR,4.0
Upper secondary vocational education certificate (level 4) ,Belgium - FR,4.0
Qualification certificate for floor house-keeper  ,Belgium - FR,4.0
Qualification certificate for technical qualifying post- secondary education – 7th year ,Belgium - FR,4.0
Qualification certificate for vocational qualifying post- secondary education – 7th year ,Belgium - FR,4.0
Qualification certificate (level 4) – education for social promotion,Belgium - FR,4.0
Qualification certificate for laboratory technicians- ,Belgium - FR,4.0
Certificate of apprenticeship (level 4) offered by regional training services ,Belgium - FR,4.0
Certificate of apprenticeship for machining technicians ,Belgium - FR,4.0
"Professional diploma, level 4 ",Belgium - FR,4.0
Diploma for coordination and supervision – haidresser manager ,Belgium - FR,4.0
Skills certificate (level 4) offered by public employment/training services ,Belgium - FR,4.0
Certificate of skills acquired in training for graphic designers ,Belgium - FR,4.0
Skills certifcate (level 4) awarded by a consortium for validation ,Belgium - FR,4.0
Skills certificate – Sales of second hand cars as part of the profession of automobile salesperson ,Belgium - FR,4.0
Upper secondary vocational qualification certificate (level 3) ,Belgium - FR,3.0
Qualification certificate for Barman/Barmaid,Belgium - FR,3.0
Upper secondary vocational qualification certificate for special and alternance education (level 3 ),Belgium - FR,3.0
Qualification certificate for Barman/Barmaid ,Belgium - FR,3.0
Qualification certificate (level 3) – education for social promotion,Belgium - FR,3.0
Qualification certificate for hairdressers ,Belgium - FR,3.0
Certificate of apprenticeship (level 3) offered by regional training services,Belgium - FR,3.0
Certificate of apprenticeship for hairdressers ,Belgium - FR,3.0
Professional diploma (level 3) ,Belgium - FR,3.0
Diploma for coordination and supervision – supervisor bartender ,Belgium - FR,3.0
Skills certificate (level 3) offered by public employment/training services ,Belgium - FR,3.0
Certificate of skills acquired in training for administrative employees,Belgium - FR,3.0
Skills certifcate (level 3) awarded by a consortium for validation,Belgium - FR,3.0
Skills certificate – managing incoming and outgoing contacts as part of the profession of call centre operato,Belgium - FR,3.0
Lower secondary vocational qualification certificate for special and alternance education,Belgium - FR,2.0
Qualification certificate (level 2) – education for social promotion,Belgium - FR,2.0
Qualification certificate for electrician fitters,Belgium - FR,2.0
Certificate of apprenticeship (level 2) offered by regional training services,Belgium - FR,2.0
Certificate of apprenticeship for manufacturing agents in the food industry,Belgium - FR,2.0
Skills certificate (level 2) offered by public employment/training services,Belgium - FR,2.0
Certificate of skills acquired in training for production operators in the food industry,Belgium - FR,2.0
Skills certifcate (level 2) awarded by a consortium for validation,Belgium - FR,2.0
Skills certificate – transporting and placing theatre equipment as part of the profession of assistant theatre technician,Belgium - FR,2.0
Certificate of elementary education (6 years),Belgium - FR,1.0
Doctoral degree ,Belgium - NL,8.0
Academic master degree,Belgium - NL,7.0
Advanced master programs,Belgium - NL,7.0
Academic bachelor degree,Belgium - NL,6.0
Professional bachelor degree,Belgium - NL,6.0
Advanced bachelor programme,Belgium - NL,6.0
Higher vocational education,Belgium - NL,5.0
Personal trainer,Belgium - NL,5.0
Upper secondary general education school leaving certificate,Belgium - NL,4.0
Upper secondary technical education school leaving certificate,Belgium - NL,4.0
Upper secondary artistic education leaving certificate,Belgium - NL,4.0
Certificate of a specialisation year (7th year) in upper secondary vocational education,Belgium - NL,4.0
Adult education,Belgium - NL,4.0
Upper secondary vocational education certificate,Belgium - NL,3.0
Adult basic education,Belgium - NL,2.0
Lower secondary education – first stage of secondary education,Belgium - NL,2.0
Pre-vocational education,Belgium - NL,2.0
Certificate of elementary education (6 years),Belgium - NL,1.0
Doctor degree,Bulgaria,8.0
"Theory and History of Literature, Telecommunications",Bulgaria,8.0
Master degree,Bulgaria,7.0
Architecture,Bulgaria,7.0
Housing Policy and Real Estate,Bulgaria,7.0
Management,Bulgaria,7.0
Bachelor degree,Bulgaria,6.0
Speech Therapy,Bulgaria,6.0
Social work,Bulgaria,6.0
Psychology,Bulgaria,6.0
‘Professional bachelor in…’ degree,Bulgaria,6.0
"Health Care, Tourism, Economics",Bulgaria,6.0
Vocational qualification-level 4,Bulgaria,5.0
Upper secondary general education school leaving certificate,Bulgaria,4.0
Vocational qualification-level 3,Bulgaria,4.0
Education and Training,Bulgaria,4.0
EQF Level 4,Bulgaria,4.0
Lower secondary school leaving certificate,Bulgaria,3.0
Vocational qualification-level 2,Bulgaria,3.0
Beauty Therapy,Bulgaria,3.0
Basic education certificate (class five to eight),Bulgaria,2.0
Vocational qualification-level 1,Bulgaria,2.0
Men’s Hairdressing/Barbering,Bulgaria,2.0
Primary education certificate,Bulgaria,1.0
Doctoral diploma (poslijediplomski (sveučilišni) doktorski studiji; obrana doktorske disertacije izvan studija),Croatia,8.0
Postgraduate research master of science diploma (poslijediplomski znanstveni magistarski studiji),Croatia,8.0
Post-master specialist university studies (poslijediplomski specijalistički studiji),Croatia,7.0
Master diploma – graduate university studies (sveučilišni diplomski studiji),Croatia,7.0
Professional master diploma – specialist graduate professional studies (specijalistički diplomski stručni studiji),Croatia,7.0
Bachelor diploma – undergraduate university studies (sveučilišni preddiplomski studiji),Croatia,6.0
Professional bachelor diploma – undergraduate professional studies (stručni preddiplomski studiji),Croatia,6.0
Professional higher education diploma – short cycle (kratki stručni studiji),Croatia,5.0
VET post-secondary development and training certificate (strukovno specijalističko usavršavanje i osposobljavanje),Croatia,5.0
Master craftsman diploma (programi za majstore uz najmanje dvije godine vrednovanog radnog iskustva),Croatia,5.0
Upper secondary general education school leaving certificate (gimnazijsko srednjoškolsko obrazovanje),Croatia,4.0
Upper secondary VET certificate – four years / Upper secondary VET certificate – five years (četverogodišnje i petogodišnje strukovno srednjoškolsko obrazovanje),Croatia,4.0
Upper secondary VET – three years (trogodišnje strukovno obrazovanje),Croatia,4.0
Upper secondary VET certificate – one year/Upper secondary VET certificate – two years (jednogodišnje i dvogodišnje srednjoškolsko strukovno obrazovanje),Croatia,3.0
Vocational training certificate (strukovno osposobljavanje),Croatia,2.0
Primary education certificate – eight years (osnovno obrazovanje),Croatia,1.0
Doctoral programme PhD degrees three to four years beyond master,Czech Republic,8.0
"Master programme Mgr, MgA., Ing., Ing. arch., MUDr, MDDr, MVDr, JUDr, PhDr, RNDr, Pharm.Dr, ThLic., and ThDr degrees one to three years of tertiary education beyond bachelor or four to six years of tertiary education ",Czech Republic,7.0
Certificate of obtaining a professional qualification: Lecturer in further education,Czech Republic,7.0
Bachelor programme Bc and BcA degrees three to four years of tertiary education,Czech Republic,6.0
Tertiary vocational education DiS degree three to three-and-a-half years of tertiary education,Czech Republic,6.0
Conservatoires - DiS degree - 8 years study after 5 years (primary education) or 6 years study after completion of a lower secondary general education programme,Czech Republic,6.0
Certificate of professional qualification: Project manager,Czech Republic,6.0
Certificate of obtaining the Personalista professional qualification,Czech Republic,5.0
Upper secondary education with maturita exam General education  – four years of upper secondary study,Czech Republic,4.0
Upper secondary education with maturita exam (Vocational education) – four years of upper secondary study,Czech Republic,4.0
Supplementary study leading to a maturita exam - Two years of study after the VET certificate,Czech Republic,4.0
Certificate of professional qualification: Mountain guide,Czech Republic,4.0
Upper secondary education with VET certificate (Vocational education) – three years of upper secondary study,Czech Republic,3.0
Certificate of professional qualification: Bartender,Czech Republic,3.0
Lower secondary education Completion of a lower secondary general education programme – nine years,Czech Republic,2.0
Upper secondary education with VET certificate - two years of upper secondary study,Czech Republic,2.0
Upper secondary education without VET certificates- 1 or 2 years educational programmes,Czech Republic,2.0
Certificate of professional qualification: Guard,Czech Republic,2.0
Special education Completion of an educational programme in a special school – 10 years,Czech Republic,1.0
PhD degree,Denmark,8.0
Doctor of Philosophy,Denmark,8.0
Master's degree (MSc/MA),Denmark,7.0
"Master of Science in Psychology, Master of Science in Sustainable Energy (Civil Engineering)",Denmark,7.0
Master's degree within the arts,Denmark,7.0
Master of Music,Denmark,7.0
Master degree (adult/continuing higher education),Denmark,7.0
Master of Education,Denmark,7.0
Bachelor's degree,Denmark,6.0
Bachelor of Arts in History,Denmark,6.0
Bachelor's degree within the arts,Denmark,6.0
Bachelor of Arts in Design,Denmark,6.0
Professional Bachelor's degree,Denmark,6.0
Bachelor in Social Education,Denmark,6.0
Diploma degree (adult/continuing higher education),Denmark,6.0
Diploma of Nutrition and Health,Denmark,6.0
VET certificate Aircraft Technican Specialising in B1/B2,Denmark,5.0
Academy Profession degree,Denmark,5.0
Academy Profession Degree Programme in Environmental Technology,Denmark,5.0
Academy Profession degrees (adult/continuing higher education),Denmark,5.0
Academy Profession (AP) Degree in Leadership & Management,Denmark,5.0
General upper secondary school certificate,Denmark,4.0
High School and similar education,Denmark,4.0
Certificate for two-year general upper secondary programme (higher preparatory examination),Denmark,4.0
VET certificate Waiter,Denmark,4.0
Higher preparatory single subject course certificate,Denmark,4.0
Adult VET certificate adult vocational training,Denmark,4.0
Certificate for single subject VET,Denmark,4.0
VET certificate Social and Helth Care helper,Denmark,3.0
Basic programmes,Denmark,3.0
Basic programme VET,Denmark,3.0
"Certificates for supplementary, single subject VET courses",Denmark,3.0
"Higher preparatory courses, single course subjects",Denmark,3.0
General adult education level D,Denmark,3.0
Adult VET certificate Adult vocational training,Denmark,3.0
Certificates for single subject courses in VET,Denmark,3.0
Leaving certificate for primary and lower secondary school - 10th grade,Denmark,2.0
VET certificate Basic programmes,Denmark,2.0
"General adult education (levels E and F, approximates 10th grade)",Denmark,2.0
Adult VET certificate,Denmark,2.0
Leaving certificate for primary and lower secondary school (ninth grade),Denmark,2.0
Certificate for preparatory adult education,Denmark,2.0
"Certificate for general adult education (level G, approximates ninth grade)",Denmark,2.0
Doctoral degree ,Estonia,8.0
"Doctorate in Government and Politics, Doctorate in Social Work",Estonia,8.0
Master degree  ,Estonia,7.0
"Masters in Cyber Security, Masters in Social Entrepreneurship",Estonia,7.0
Bachelor degree ,Estonia,6.0
"Bachelors in Integrated Engineering, Bachelors in Medicine",Estonia,6.0
Diploma of professional higher education ,Estonia,6.0
"VET certificate, level 5 ",Estonia,5.0
"VET Certificate for Accountant, VET Certificate for Business administration specialist, VET Certificate for Sales organiser",Estonia,5.0
Upper secondary general education certificate ,Estonia,4.0
Upper secondary VET certificate ,Estonia,4.0
"VET Certificate for Heat pump installers, VET Certificate for catering specialists",Estonia,4.0
"VET certificate, level 4 ",Estonia,4.0
"Welder, junior software developer, IT systems specialist, farm-worker",Estonia,4.0
"VET qualification certificate, level 3 ",Estonia,3.0
"VET Certificate for Woodworking bench operator, VET Certificate for Electronic equipment assembler",Estonia,3.0
Basic education certificate ,Estonia,2.0
Basic education certificate on the simplified national curriculum for basic schools ,Estonia,2.0
"VET certificate, level 2 (without basic education requirement) ",Estonia,2.0
"VET Certificate for Cleaner assistant, VET Certificate for Assistant gardener, VET Certificate for Electronics assembly operator",Estonia,2.0
Basic eduction certificate on the simplified national curriculum for basic schools (for students with special educational needs) ,Estonia,1.0
Universities’ and National Defence University scientific and artistic postgraduate degrees (licentiate and doctor degrees) ,Finland,8.0
Licentiate of Philosophy,Finland,8.0
Doctor of Philosophy,Finland,8.0
Licentiate of Science (Technology),Finland,8.0
Doctor of Science (Technology),Finland,8.0
Licentiate of Science (Architecture),Finland,8.0
Doctor of Science (Architecture),Finland,8.0
General staff officer degree,Finland,8.0
Specialist degree in veterinary medicine ,Finland,8.0
Specialist training in medicine,Finland,8.0
"Specialist training in medicine, phoniatrics ",Finland,8.0
"Specialist training in medicine, clinical chemistry ",Finland,8.0
"Specialist training in medicine, geriatrics",Finland,8.0
Specialist training in dentistry ,Finland,8.0
"Specialist training in dentistry, oral and maxillofacial surgery",Finland,8.0
"Specialist training in dentistry, orthodontics",Finland,8.0
"Specialist training in dentistry, public health",Finland,8.0
Master degrees at universities,Finland,7.0
Master of Arts,Finland,7.0
Master of Science (Technology),Finland,7.0
Master of Science (Architecture),Finland,7.0
Master of Arts (Theatre and Drama),Finland,7.0
Master degrees at universities of applied sciences,Finland,7.0
Master of Culture and Arts ,Finland,7.0
Master of Engineering,Finland,7.0
